StudentID,Attentive,Interested,Alert,Excited,Enthusiastic,Inspired,Proud,Determined,Strong,Active,Distressed,Upset,Hostile,Irritable,Scared,Afraid,Ashamed,Guilty,Nervous,Jittery,Response,Response.1
4176235,4,1,4,1,1,2,1,4,2,4,4,3,4,4,4,3,3,3,1,3,1,4
4004161,4,4,3,3,3,4,2,4,2,3,2,2,3,2,2,1,1,1,2,1,2,2
2849593,3,4,2,4,4,2,4,2,3,1,3,4,1,2,3,2,1,4,1,1,2,4
2678251,4,3,1,3,4,3,5,3,1,3,1,2,1,2,1,1,2,1,1,5,4,3
2327605,2,4,5,5,5,4,4,4,4,5,2,4,3,4,2,2,4,4,2,2,3,2
3937534,4,4,4,2,3,3,3,4,3,3,2,1,1,3,1,1,1,1,2,1,3,3
3726898,3,4,2,4,4,4,4,4,2,3,2,1,1,2,1,1,1,1,3,3,4,4
4125181,3,4,4,4,4,3,4,4,3,5,1,1,1,1,2,1,1,1,2,2,5,2
3994774,4,4,4,3,3,3,2,2,3,3,3,3,2,4,1,2,2,1,3,4,2,4
2986522,4,5,4,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,2,1,3,1
4089283,4,5,3,4,5,3,4,5,3,2,4,4,1,1,4,3,1,2,3,2,5,1
4074418,3,4,4,3,3,4,4,5,4,1,3,3,3,4,2,2,2,3,3,4,3,4
3731788,3,3,1,4,4,3,4,3,3,4,1,1,1,1,1,1,1,1,2,1,3,3
4127842,4,4,1,4,4,4,4,4,3,4,1,1,1,1,1,1,1,1,2,2,5,1
4098637,4,3,3,5,4,2,3,4,2,2,2,1,1,3,1,1,1,1,1,2,4,3
4112617,2,2,3,3,3,2,4,3,3,2,3,1,2,2,1,2,2,1,2,2,4,2
3702013,4,4,4,4,4,3,4,4,3,4,3,2,4,2,1,2,1,1,4,3,4,2
3864868,5,3,5,4,3,4,1,4,2,4,2,3,2,3,1,1,1,1,2,4,2,4
3079246,2,2,4,3,3,2,3,2,2,4,3,1,1,2,3,3,1,2,3,4,4,3
2889157,3,3,4,2,3,3,3,5,4,5,1,1,1,2,1,1,1,1,2,2,4,1
3722161,5,4,3,3,4,3,2,4,2,4,3,4,3,5,2,2,3,2,4,2,3,4
3846211,3,4,2,2,2,3,3,2,4,2,1,1,1,2,1,1,1,2,1,3,4,2
2591959,3,4,2,4,4,2,4,5,3,3,3,3,3,3,2,1,1,2,3,4,2,4
4138315,3,1,3,1,2,1,2,3,1,2,1,2,3,3,3,4,1,2,3,4,2,4
3691114,2,2,4,2,3,2,1,2,1,2,3,4,3,2,2,3,4,4,4,2,1,4
4020811,2,3,1,2,2,2,1,2,2,2,3,4,2,3,3,4,3,2,3,4,1,4
2857540,2,2,2,2,4,2,3,3,2,3,2,2,3,4,1,1,3,4,4,3,2,4
4158373,2,2,3,1,2,1,1,2,2,3,2,2,3,2,1,2,2,2,2,2,3,3
3977503,2,4,1,3,2,2,4,3,1,2,4,4,1,1,2,3,1,3,3,1,2,4
3068389,4,4,4,4,4,4,4,4,4,4,3,1,4,2,2,3,2,1,2,1,2,4
4063192,4,4,4,3,3,3,4,3,3,3,2,2,1,2,1,1,1,1,3,4,2,4
4144564,3,5,2,5,5,3,3,4,4,2,1,1,1,2,1,1,1,1,1,1,4,3
3716566,2,5,4,4,5,3,5,4,3,4,5,5,5,5,5,5,4,4,5,2,3,4
4157221,4,4,2,5,5,3,2,3,1,3,2,1,1,1,1,1,1,5,2,1,3,4
3917161,3,3,3,2,3,3,3,4,3,3,3,4,2,4,3,4,2,3,4,4,2,4
4060924,2,3,3,3,4,2,3,4,2,3,1,1,2,3,1,1,1,1,1,1,3,1
4189879,3,3,3,3,3,3,3,3,3,4,1,1,1,1,1,2,2,1,3,2,3,2
3907921,4,4,4,5,5,5,4,5,4,4,2,1,1,1,3,3,1,1,4,2,3,4
3809512,4,3,2,1,3,2,3,2,1,1,1,1,1,3,1,1,2,4,1,1,4,2
4151284,2,3,2,2,2,3,3,4,2,2,4,3,3,3,1,2,1,3,2,2,4,2
3970030,1,2,1,2,1,1,1,3,3,4,1,1,1,2,1,1,2,1,1,1,4,2
3955762,1,5,3,1,1,1,1,3,1,1,4,4,1,3,2,1,1,1,4,1,2,4
3061060,2,4,2,4,4,2,3,2,2,1,3,1,1,1,2,3,2,3,2,2,2,2
4166047,4,3,3,3,3,2,2,2,2,4,3,1,3,4,1,1,1,1,1,3,4,3
2420833,4,4,4,4,4,4,1,4,4,4,2,2,1,4,3,1,1,2,3,1,2,3
4163374,4,4,2,4,4,4,4,4,4,4,1,1,4,1,1,1,1,1,1,1,4,2
4108054,3,3,2,2,3,2,3,3,3,3,3,2,2,4,1,1,1,1,1,1,1,5
3936094,3,3,3,5,5,4,3,3,3,4,2,1,1,1,1,1,1,1,1,1,4,2
3797737,4,4,5,4,3,3,3,4,4,5,1,1,1,1,1,2,1,1,1,1,3,3
4066957,4,4,3,5,5,5,4,5,4,4,3,1,1,1,2,1,1,1,2,5,3,4
